CIF,Formula,Structure Type,tcsp_center_label,tcsp_center,tcsp_prism_formula,tcsp_caps_formula,tctp_1_center,tctp_1_count,tctp_1_prism_formula,tctp_1_cap_formula,tctp_2_center,tctp_2_count,tctp_2_prism_formula,tctp_2_cap_formula,tctp_3_center,tctp_3_count,tctp_3_prism_formula,tctp_3_cap_formula
1013433.cif,InLa2Pt2,"Mo2FeB2,tP10,127",In1,In,La8,Pt4,Pt,4,La6,In2Pt,,,,,,,,
1222342.cif,CdCu2Er2,"Mo2FeB2,tP10,127",Cd1,Cd,Er8,Cu4,Cu,4,Er6,Cd2Cu,,,,,,,,
1234261.cif,Ge2InPr2,"Mo2FeB2,tP10,127",In1,In,Pr8,Ge4,Ge,4,Pr6,In2Ge,,,,,,,,
536118.cif,Ce2Cu2In,"Mo2FeB2,tP10,127",In1,In,Ce8,Cu4,Cu,4,Ce6,In2Cu,,,,,,,,
1232092.cif,InPt2U2,"Mo2FeB2,tP10,127",In1,In,U8,Pt4,Pt,4,U6,In2Pt,,,,,,,,
1148331.cif,Ce2PbRh2,"Mo2FeB2,tP10,127",Pb1,Pb,Ce8,Rh4,Rh,4,Ce6,Pb2Rh,,,,,,,,
1606144.cif,InRh2U2,"Mo2FeB2,tP10,127",In1,In,U8,Rh4,Rh,4,U6,In2Rh,,,,,,,,
1709133.cif,Cu2InY2,"Mo2FeB2,tP10,127",In1,In,Y8,Cu4,Cu,4,Y6,In2Cu,,,,,,,,
1645501.cif,MgSi2Yb2,"Mo2FeB2,tP10,127",Mg1,Mg,Yb8,Si4,Si,4,Yb6,Mg2Si,,,,,,,,
1818860.cif,Au2InSm2,"Mo2FeB2,tP10,127",In1,In,Sm8,Au4,Au,4,Sm6,In2Au,,,,,,,,
1636913.cif,InNd2Ni2,"Mo2FeB2,tP10,127",In1,In,Nd8,Ni4,Ni,4,Nd6,In2Ni,,,,,,,,
1521055.cif,Ce2MgSi2,"Mo2FeB2,tP10,127",Mg1,Mg,Ce8,Si4,Si,4,Ce6,Mg2Si,,,,,,,,
1415423.cif,CdPr2Rh2,"Mo2FeB2,tP10,127",Cd1,Cd,Pr8,Rh4,Rh,4,Pr6,Cd2Rh,,,,,,,,
1634610.cif,La2PbPt2,"Mo2FeB2,tP10,127",Pb1,Pb,La8,Pt4,Pt,4,La6,Pb2Pt,,,,,,,,
1943552.cif,Au2CdCe2,"Mo2FeB2,tP10,127",Cd1,Cd,Ce8,Au4,Au,4,Ce6,Cd2Au,,,,,,,,
1340190.cif,Er2Ni2Sn,"Mo2FeB2,tP10,127",Sn1,Sn,Er8,Ni4,Ni,4,Er6,Sn2Ni,,,,,,,,
1322076.cif,Ce2InPt2,"Mo2FeB2,tP10,127",In1,In,Ce8,Pt4,Pt,4,Ce6,In2Pt,,,,,,,,
1521053.cif,MgSi2Y2,"Mo2FeB2,tP10,127",Mg1,Mg,Y8,Si4,Si,4,Y6,Mg2Si,,,,,,,,
1023676.cif,Co2InZr2,"Mo2FeB2,tP10,127",In1,In,Zr8,Co4,Co,4,Zr6,In2Co,,,,,,,,
1650110.cif,InPd2Yb2,"Mo2FeB2,tP10,127",In1,In,Yb8,Pd4,Pd,4,Yb6,In2Pd,,,,,,,,
1606145.cif,InPd2U2,"Mo2FeB2,tP10,127",In1,In,U8,Pd4,Pd,4,U6,In2Pd,,,,,,,,
536122.cif,InNi2Tb2,"Mo2FeB2,tP10,127",In1,In,Tb8,Ni4,Ni,4,Tb6,In2Ni,,,,,,,,
1415471.cif,Cu2MgTm2,"Mo2FeB2,tP10,127",Mg1,Mg,Tm8,Cu4,Cu,4,Tm6,Mg2Cu,,,,,,,,
1645502.cif,Gd2MgSi2,"Mo2FeB2,tP10,127",Mg1,Mg,Gd8,Si4,Si,4,Gd6,Mg2Si,,,,,,,,
1925536.cif,Cu2InNd2,"Mo2FeB2,tP10,127",In1,In,Nd8,Cu4,Cu,4,Nd6,In2Cu,,,,,,,,
1148333.cif,Nd2PbRh2,"Mo2FeB2,tP10,127",Pb1,Pb,Nd8,Rh4,Rh,4,Nd6,Pb2Rh,,,,,,,,
1231074.cif,InPt2Sm2,"Mo2FeB2,tP10,127",In1,In,Sm8,Pt4,Pt,4,Sm6,In2Pt,,,,,,,,
536113.cif,Er2InNi2,"Mo2FeB2,tP10,127",In1,In,Er8,Ni4,Ni,4,Er6,In2Ni,,,,,,,,
1521056.cif,MgPr2Si2,"Mo2FeB2,tP10,127",Mg1,Mg,Pr8,Si4,Si,4,Pr6,Mg2Si,,,,,,,,
1925543.cif,Cu2InSm2,"Mo2FeB2,tP10,127",In1,In,Sm8,Cu4,Cu,4,Sm6,In2Cu,,,,,,,,
1231066.cif,InPd2Tm2,"Mo2FeB2,tP10,127",In1,In,Tm8,Pd4,Pd,4,Tm6,In2Pd,,,,,,,,
1935266.cif,Ni2SnU2,"Mo2FeB2,tP10,127",Sn1,Sn,U8,Ni4,Ni,4,U6,Sn2Ni,,,,,,,,
1703540.cif,Dy2MgNi2,"Mo2FeB2,tP10,127",Mg1,Mg,Dy8,Ni4,Ni,4,Dy6,Mg2Ni,,,,,,,,
1634620.cif,Lu2PbPt2,"Mo2FeB2,tP10,127",Pb1,Pb,Lu8,Pt4,Pt,4,Lu6,Pb2Pt,,,,,,,,
1236262.cif,Ge2InLa2,"Mo2FeB2,tP10,127",In1,In,La8,Ge4,Ge,4,La6,In2Ge,,,,,,,,
1822643.cif,Ce2InSi2,"Mo2FeB2,tP10,127",In1,In,Ce8,Si4,Si,4,Ce6,In2Si,,,,,,,,
1415469.cif,Cu2Ho2Mg,"Mo2FeB2,tP10,127",Mg1,Mg,Ho8,Cu4,Cu,4,Ho6,Mg2Cu,,,,,,,,
536112.cif,Ho2InNi2,"Mo2FeB2,tP10,127",In1,In,Ho8,Ni4,Ni,4,Ho6,In2Ni,,,,,,,,
1013434.cif,Au2InLa2,"Mo2FeB2,tP10,127",In1,In,La8,Au4,Au,4,La6,In2Au,,,,,,,,
1703543.cif,MgNi2Tm2,"Mo2FeB2,tP10,127",Mg1,Mg,Tm8,Ni4,Ni,4,Tm6,Mg2Ni,,,,,,,,
1233883.cif,La2ScSi2,"Mo2FeB2,tP10,127",Sc1,Sc,La8,Si4,Si,4,La6,Sc2Si,,,,,,,,
536121.cif,Cu2InY2,"Mo2FeB2,tP10,127",In1,In,Y8,Cu4,Cu,4,Y6,In2Cu,,,,,,,,
1818866.cif,Au2InYb2,"Mo2FeB2,tP10,127",In1,In,Yb8,Au4,Au,4,Yb6,In2Au,,,,,,,,
1930291.cif,Ce2Cu2In,"Mo2FeB2,tP10,127",In1,In,Ce8,Cu4,Cu,4,Ce6,In2Cu,,,,,,,,
1013432.cif,InLa2Pd2,"Mo2FeB2,tP10,127",In1,In,La8,Pd4,Pd,4,La6,In2Pd,,,,,,,,
1222341.cif,CdCu2Ho2,"Mo2FeB2,tP10,127",Cd1,Cd,Ho8,Cu4,Cu,4,Ho6,Cd2Cu,,,,,,,,
1217901.cif,CdPd2Tb2,"Mo2FeB2,tP10,127",Cd1,Cd,Tb8,Pd4,Pd,4,Tb6,Cd2Pd,,,,,,,,
1606167.cif,Ce2ScSi2,"Mo2FeB2,tP10,127",Sc1,Sc,Ce8,Si4,Si,4,Ce6,Sc2Si,,,,,,,,
1012422.cif,Ce2Ge2In,"Mo2FeB2,tP10,127",In1,In,Ce8,Ge4,Ge,4,Ce6,In2Ge,,,,,,,,
1907505.cif,MgPd2Sm2,"Mo2FeB2,tP10,127",Mg1,Mg,Sm8,Pd4,Pd,4,Sm6,Mg2Pd,,,,,,,,
1521062.cif,MgSi2Tm2,"Mo2FeB2,tP10,127",Mg1,Mg,Tm8,Si4,Si,4,Tm6,Mg2Si,,,,,,,,
1634609.cif,PbPt2Y2,"Mo2FeB2,tP10,127",Pb1,Pb,Y8,Pt4,Pt,4,Y6,Pb2Pt,,,,,,,,
1013431.cif,InLa2Rh2,"Mo2FeB2,tP10,127",In1,In,La8,Rh4,Rh,4,La6,In2Rh,,,,,,,,
