,Structure type,cif,site,tcsp_present,tctp_on_caps,tctp_sites,sp_square_formula,sp_cap_formula,num_tctp_caps,tctp_center_0,tctp_tp_formula_0,tctp_cap_formula_0,tctp_center_1,tctp_tp_formula_1,tctp_cap_formula_1,tctp_center_2,tctp_tp_formula_2,tctp_cap_formula_2
752,"Ce3Ni7As5,oP30,59",1412822.cif,As1,yes,yes,"[['Ni5', 1]]",Ni4As2Ce2,Ce2Ni2,1,Ni5,Ce4Ni2,As3,,,,,,
383,"Ba6Mg17Eu3Si13,hP39,174",1150374.cif,Mg1,yes,yes,"[['Si1', 1]]",Mg4Ba2Si2,Ba2Si2,1,Si1,Ba4Mg2,Mg3,,,,,,
336,"PdBi2,mS12,12",1251701.cif,BiII,yes,yes,"[['Pd', 1]]",Bi6Pd2,Bi3Pd,1,Pd,Bi4Pd2,Bi3,,,,,,
776,"UCr6P4,oP22,59",1803442.cif,Cr(4),yes,yes,"[['P(1)', 1]]",Cr4P2U2,P2CrU,1,P(1),Cr4U2,Cr3,,,,,,
300,"Nb2P,oP54,51",1226792.cif,Nb10,yes,yes,"[['P5', 1]]",Nb8,P3Nb,1,P5,Nb6,Nb3,,,,,,
388,"Cr12P7,hP19,174",1253273.cif,Cr(IV),yes,yes,"[['P(III)', 1]]",Cr6P2,Cr2P2,1,P(III),Cr6,Cr3,,,,,,
339,"Tb6Pt12In23,mS82,12",1711843.cif,In5,yes,yes,"[['Pt3', 1]]",In4Pt2Tb2,In2PtTb,1,Pt3,In4Tb2,In3,,,,,,
390,"NbRuB,oP18,51",1945257.cif,Ru1,yes,yes,"[['B1', 1]]",Nb6B2,Ru3B,1,B1,Nb6,Ru2B,,,,,,
803,"SmPd2In4,oP112,62",1631486.cif,In12,yes,yes,"[['Pd7', 1]]",In4Pd2Sm2,In2PdSm,1,Pd7,In4Sm2,In3,,,,,,
802,"SmPd2In4,oP112,62",1631486.cif,In10,yes,yes,"[['Pd6', 1]]",In4Pd2Sm2,In2PdSm,1,Pd6,In4Sm2,In3,,,,,,
587,"Mg16Cu5Y5,oS104,63",1629334.cif,Mg4,yes,yes,"[['Cu1', 1]]",Mg6Y2,Mg2CuY,1,Cu1,Y4Mg2,Mg3,,,,,,
588,"Mg16Cu5Y5,oS104,63",1629334.cif,Mg5,yes,yes,"[['Cu2', 1]]",Mg6Y2,Mg3Cu,1,Cu2,Y4Mg2,Mg3,,,,,,
589,"Mg16Cu5Y5,oS104,63",1629334.cif,Mg6,yes,yes,"[['Cu2', 1]]",Mg6Y2,Mg3Cu,1,Cu2,Y4Mg2,Mg3,,,,,,
574,"Tb15Ni28P21,hP128,176",1803040.cif,Ni5,yes,yes,"[['P1', 1]]",Ni4P2Tb2,P2Tb2,1,P1,Tb4Ni2,Ni3,,,,,,
296,"La11Ru2Al6,oP38,55",1631451.cif,La5,yes,yes,"[['Al2', 1]]",Al4La4,La2AlRu,1,Al2,La6,La3,,,,,,
593,"Ce2Rh3Pb4Bi,oS40,36",1623885.cif,Bi3,yes,yes,"[['Rh3', 1]]",Bi4Ce2Rh2,Ce2BiRh,1,Rh3,Bi4Ce2,Bi2Ce,,,,,,
595,"Ce2Rh3Pb4Bi,oS40,36",1623885.cif,Bi5,yes,yes,"[['Rh3', 1]]",Bi4Ce2Rh2,Rh2BiCe,1,Rh3,Bi4Ce2,Bi2Ce,,,,,,
411,"La3Ni12P7,oS88,36",1803976.cif,Ni5,yes,yes,"[['P3', 1]]",Ni4La2P2,P2LaNi,1,P3,La4Ni2,Ni3,,,,,,
721,"Lu11Te4,mS90,12",1121857.cif,Lu13,yes,yes,"[['Te2', 1]]",Lu8,Lu2Te2,1,Te2,Lu6,Lu3,,,,,,
537,"Y3Pt4Ge6,mP26,11",1000562.cif,Pt3,yes,yes,"[['Ge3', 1]]",Y4Ge2Pt2,Ge3Y,1,Ge3,Y6,Pt3,,,,,,
507,"(Li~0.18~Mg~0.82~)~3~Sr~3~Mg~2~Ge~5~,oP52,62",1903768.cif,Mg3A,yes,yes,"[['Ge3', 1]]",Ge2Li2Mg2Sr2,Ge2Sr2,1,Ge3,Sr4Li2,Li2Ge,,,,,,
959,"CePdAl,oP42,59",1522820.cif,Al1,yes,yes,"[['Pd1', 1]]",Ce4Al2Pd2,Pd2AlCe,1,Pd1,Al4Ce2,Ce2Al,,,,,,
958,"TaRuB,oP36,55",1945422.cif,Ru3,yes,yes,"[['B3', 1]]",Ta6B2,Ru3B,1,B3,Ta6,Ru2B,,,,,,
957,"TaRuB,oP36,55",1945422.cif,Ru1,yes,yes,"[['B1', 1]]",Ta6B2,Ru3B,1,B1,Ta6,B2Ru,,,,,,
956,"TaRuB,oP36,55",1945422.cif,Ru2,yes,yes,"[['B3', 1]]",Ta6B2,Ru3B,1,B3,Ta6,Ru2B,,,,,,
504,"GdNiIn2,oS112,63",1121912.cif,In2,yes,yes,"[['Ni3', 1]]",Gd4In2Ni2,In2GdNi,1,Ni3,Gd4In2,In3,,,,,,
476,"Mg4CuTb,oS48,65",1622981.cif,Mg4,yes,yes,"[['Cu3', 1]]",Mg6Tb2,Mg3Cu,1,Cu3,Tb4Mg2,Mg3,,,,,,
477,"Mg4CuTb,oS48,65",1622981.cif,Mg8,yes,yes,"[['Cu3', 1]]",Mg6Tb2,Mg3Cu,1,Cu3,Tb4Mg2,Mg3,,,,,,
949,"Ca3Al2Ge3,oP32,62",462341.cif,Al(2),yes,yes,"[['Ge(1)', 1]]",Ca6Ge2,Ge3Ca,1,Ge(1),Ca6,Al2Ca,,,,,,
534,"Y3Pt4Ge6,mP26,11",1000562.cif,Pt1,yes,yes,"[['Ge3', 1]]",Y4Ge2Pt2,Ge3Y,1,Ge3,Y6,Pt3,,,,,,
737,"Co2As,hP36,189",532372.cif,Co1,yes,yes,"[['As1', 1]]",As4Co4,Co3As,1,As1,Co6,Co3,,,,,,
355,"La7Pd17P12,mS72,12",1415523.cif,Pd9,yes,yes,"[['P6', 1]]",Pd4La2P2,La2P2,1,P6,La4Pd2,Pd3,,,,,,
497,"Tb3Co2Ge4,mS18,12",1407058.cif,Co,yes,yes,"[['Ge2', 1]]",Tb4Co2Ge2,Ge2Tb2,1,Ge2,Tb4Ge2,Tb2Co,,,,,,
356,"La7Pd17P12,mS72,12",1415523.cif,P3,yes,yes,"[['Pd1', 1]]",La4P2Pd2,Pd3La,1,Pd1,La6,P3,,,,,,
718,"Ca3Au3In,oP28,62",1926533.cif,Ca2,yes,yes,"[['Au3', 1]]",Au4Ca2In2,Au3Ca,1,Au3,Ca4In2,Ca2In,,,,,,
944,"Ca2CdAs2,mS50,8",1632495.cif,Cd4,yes,yes,"[['As6', 1]]",Ca6As2,As3Ca,1,As6,Ca6,Cd3,,,,,,
966,"YNiAl4,oS24,63",1407077.cif,Al1,yes,yes,"[['Ni', 1]]",Al4Ni2Y2,Al2NiY,1,Ni,Al4Y2,Al3,,,,,,
1053,"MgNi2Bi4,oS28,63",1341253.cif,Bi2,yes,yes,"[['Ni1', 1]]",Bi4Mg2Ni2,Bi3Ni,1,Ni1,Bi4Ni2,Bi2Mg,,,,,,
1051,"MgCuAs,oP24,62",1708361.cif,Mg1,yes,yes,"[['As2', 1]]",As4Cu2Mg2,Cu2AsMg,1,As2,Mg4Cu2,Cu2Mg,,,,,,
474,"Zr2Ni3P3,oP32,62",1612289.cif,Ni3,yes,yes,"[['P2', 1]]",Zr4Ni2P2,P2NiZr,1,P2,Ni4Zr2,Ni2Zr,,,,,,
524,"Zr2Cr30P19,hP51,174",1811570.cif,Cr9,yes,yes,"[['P7', 1]]",Cr6P2,Cr2P2,1,P7,Cr6,Cr3,,,,,,
975,"CeRhSn2,oS32,63",1415892.cif,Sn2,yes,yes,"[['Sn3', 1]]",Ce4Sn4,Rh2CeSn,1,Sn3,Ce6,Rh2Sn,,,,,,
974,"CeRhSn2,oS32,63",1415892.cif,Rh,yes,yes,"[['Sn3', 1]]",Ce4Rh2Sn2,Sn3Ce,1,Sn3,Ce6,Rh2Sn,,,,,,
719,"Ca3Au3In,oP28,62",1926533.cif,In,yes,yes,"[['Au3', 1]]",Ca6Au2,Au2Ca2,1,Au3,Ca4In2,Ca2In,,,,,,
493,"Ca28Ga11,oI78,44",1240886.cif,Ca10,yes,yes,"[['Ga4', 1]]",Ca6Ga2,Ca3Ga,1,Ga4,Ca6,Ca3,,,,,,
318,"LaPd2In4,oP70,26",1227415.cif,In8,yes,yes,"[['Pd4', 1]]",In4La2Pd2,In2LaPd,1,Pd4,In4La2,In3,,,,,,
720,"Ca3Au3In,oP28,62",1926533.cif,Ca1,yes,yes,"[['Au3', 1]]",Au4Ca2In2,Au2CaIn,1,Au3,Ca4In2,Ca2In,,,,,,
315,"LaPd2In4,oP70,26",1227415.cif,In2,yes,yes,"[['Pd4', 1]]",In6La2,La2Pd2,1,Pd4,In4La2,In3,,,,,,
617,"LuNiGe,oS48,63",1322285.cif,Ni1,yes,yes,"[['Ge2', 1]]",Lu4Ge2Ni2,Ge2Lu2,1,Ge2,Lu6,Ni3,,,,,,
312,"Y5Co5Ga,oS44,63",1803062.cif,Y2,yes,yes,"[['Co2', 1]]",Co6Y2,Y2CoGa,1,Co2,Y6,Co2Y,,,,,,
499,"GdNiIn2,oS112,63",1121912.cif,In4,yes,yes,"[['Ni2', 1]]",In4Gd2Ni2,Gd2InNi,1,Ni2,In4Gd2,In2Gd,,,,,,
364,"Ce3Pd4Sn6,oP52,62",1004570.cif,Pd2,yes,yes,"[['Sn4', 1]]",Ce4Pd2Sn2,Sn3Ce,1,Sn4,Ce6,Pd3,,,,,,
731,"Ca15Ni68Ge37,hP120,189",1633403.cif,Ge3,yes,yes,"[['Ni10', 1]]",Ca4Ge2Ni2,Ni4,1,Ni10,Ca6,Ge3,,,,,,
500,"GdNiIn2,oS112,63",1121912.cif,In1,yes,yes,"[['Ni2', 1]]",Gd4In2Ni2,In2GdNi,1,Ni2,In4Gd2,In2Gd,,,,,,
501,"GdNiIn2,oS112,63",1121912.cif,In3,yes,yes,"[['Ni3', 1]]",Gd6Ni2,In3Ni,1,Ni3,Gd4In2,In3,,,,,,
627,"SrAu3In3,oP14,59",1622926.cif,In1,yes,yes,"[['Au2', 1]]",In4Au2Sr2,Au2InSr,1,Au2,In4Sr2,In3,,,,,,
983,"Li8La7Ge10,oS50,65",1232048.cif,Li1,yes,yes,"[['Ge4', 1]]",La4Ge2Li2,Ge2LaLi,1,Ge4,La6,Ge2Li,,,,,,
982,"Li8La7Ge10,oS50,65",1232048.cif,Li2,yes,yes,"[['Ge1', 1]]",La4Ge2Li2,Ge2LaLi,1,Ge1,La6,Li2Ge,,,,,,
502,"GdNiIn2,oS112,63",1121912.cif,In8,yes,yes,"[['Ni1', 1]]",Gd4In2Ni2,In2GdNi,1,Ni1,In4Gd2,In2Gd,,,,,,
636,"La2Ni12P5,mP38,11",1007528.cif,Ni10,yes,yes,"[['P5', 1]]",Ni6P2,La2NiP,1,P5,Ni4La2,Ni3,,,,,,
404,"Ca7Ni4Sn13,tP24,83",539355.cif,Sn1,yes,yes,"[['Sn3', 1]]",Ca4Sn4,Ni2CaSn,1,Sn3,Ca6,Sn2Ni,,,,,,
638,"K2Ag3CeTe4,oP40,62",1920676.cif,Ag3,yes,yes,"[['Te3', 1]]",Ag2Ce2K2Te2,Te2AgK,1,Te3,Ag4K2,Ag2Ce,,,,,,
724,"Ce3Rh4Sn7,mP28,11",1650230.cif,Sn6,yes,yes,"[['Rh1', 1]]",Sn4Ce2Rh2,Sn2CeRh,1,Rh1,Sn4Ce2,Sn2Ce,,,,,,
810,"Zr3Pd4P3,oP40,62",1904569.cif,Pd2,yes,yes,"[['P2', 1]]",Pd4P2Zr2,Zr2PPd,1,P2,Zr4Pd2,Pd2Zr,,,,,,
503,"GdNiIn2,oS112,63",1121912.cif,In7,yes,yes,"[['Ni1', 1]]",Gd4In2Ni2,In2GdNi,1,Ni1,In4Gd2,In2Gd,,,,,,
639,"K2Ag3CeTe4,oP40,62",1920676.cif,Ag1,yes,yes,"[['Te3', 1]]",Ag2Ce2K2Te2,Te3K,1,Te3,Ag4K2,Ag2Ce,,,,,,
91,"Ho5Ni19P12,hP36,189",1611127.cif,Ni2,yes,yes,"[['P2', 1]]",Ni4Ho2P2,P2HoNi,1,P2,Ni4Ho2,Ni3,,,,,,
916,"Y4Co4Ga,mS18,12",1612311.cif,Y2,yes,yes,"[['Co2', 1]]",Co6Y2,Y2CoGa,1,Co2,Y6,Co2Y,,,,,,
938,"Gd~4~Ni~2~Sb(Sb~0.07~Si~0.93~)Si,oP36,62",1629202.cif,Ni2,yes,yes,"[['Si12', 1]]",Gd4Ni2Si2,Gd2Si2,1,Si12,Gd6,Gd2Ni,,,,,,
531,"Ba5Mg18Si13,hP36,189",1200053.cif,Mg4,yes,yes,"[['SiE3', 1]]",Mg4Ba2Si2,Si2BaMg,1,SiE3,Mg4Ba2,Mg3,,,,,,
967,"YNiAl4,oS24,63",1407077.cif,Al2,yes,yes,"[['Ni', 1]]",Al8,Y3Ni,1,Ni,Al4Y2,Al3,,,,,,
811,"Zr3Pd4P3,oP40,62",1904569.cif,Pd3,yes,yes,"[['P3', 1]]",Zr4P2Pd2,Zr2PPd,1,P3,Zr4Pd2,Pd3,,,,,,
860,"U10Co51Si33,hP188,176",1000449.cif,Co13,yes,yes,"[['Si9', 1]]",Co4Si2U2,Si2CoU,1,Si9,Co4U2,Co3,,,,,,
879,"Au2Eu2Sn5,mP18,11",1415289.cif,Sn4,yes,yes,"[['Au2', 1]]",Eu4Sn4,Sn3Au,1,Au2,Sn4Eu2,Sn2Eu,,,,,,
925,"Yb5Fe4Al17Si6,tP32,123",1636744.cif,Al3,yes,yes,"[['Al4', 1]]",Al2Fe2Si2Yb2,Al3Si,1,Al4,Yb4Al2,Al3,,,,,,
921,"Li7CuSi2,oP40,62",1719635.cif,Li7,yes,yes,"[['Li3', 1]]",Li4Cu2Si2,Li3Si,1,Li3,Li4Si2,Li2Si,,,,,,
1000,"Li3Ce5Ge4,oS24,38",1010612.cif,Li1,yes,yes,"[['Ge1', 1]]",Ce6Li2,Ce3Ge,1,Ge1,Ce6,Ge2Li,,,,,,
641,"Er5Ni3Al3Ge4,oP30,59",1910334.cif,Ni1,yes,yes,"[['Ge2', 1]]",Er4Ge2Ni2,Er2Ge2,1,Ge2,Er6,Al2Ni,,,,,,
540,"Y3Pt4Ge6,mP26,11",1000562.cif,Pt4,yes,yes,"[['Ge3', 1]]",Y4Ge2Pt2,Ge3Y,1,Ge3,Y6,Pt3,,,,,,
734,"Ca15Ni68Ge37,hP120,189",1633403.cif,Ge4,yes,yes,"[['Ni14', 1]]",Ca4Ge2Ni2,Ni4,1,Ni14,Ca6,Ge3,,,,,,
498,"Tb3Co2Ge4,mS18,12",1407058.cif,Tb1,yes,yes,"[['Ge2', 1]]",Ge6Co2,Co2Ge2,1,Ge2,Tb4Ge2,Tb2Co,,,,,,
357,"La7Pd17P12,mS72,12",1415523.cif,Pd3,yes,yes,"[['P3', 1]]",La4P2Pd2,P2LaPd,1,P3,La4Pd2,Pd3,,,,,,
911,"SrMgSi2,oP32,62",1708276.cif,Mg2,yes,yes,"[['Si4', 1]]",Si4Mg2Sr2,Sr3Si,1,Si4,Sr4Mg2,Mg2Si,,,,,,
912,"La4Co5Al2,oP22,58",1651338.cif,Al1,yes,yes,"[['Co1', 1]]",Co4La4,Co2La2,1,Co1,La4Al2,AlCoLa,,,,,,
939,"Gd~4~Ni~2~Sb(Sb~0.07~Si~0.93~)Si,oP36,62",1629202.cif,Si2,yes,yes,"[['Ni1', 1]]",Gd4Ni2Si2,Gd2Ni2,1,Ni1,Gd4Sb2,Gd2Si,,,,,,
890,"Ca6Cu2Sn7,mS30,12",1420141.cif,Cu1,yes,yes,"[['Sn1', 1]]",Ca4Cu2Sn2,Sn3Ca,1,Sn1,Ca6,CaCuSn,,,,,,
914,"La4Co5Al2,oP22,58",1651338.cif,La2,yes,yes,"[['Co1', 1]]",Co4Al2La2,Co2AlLa,1,Co1,La4Al2,AlCoLa,,,,,,
871,"V18P9C2,oP58,51",1644069.cif,V6,yes,yes,"[['P5', 1]]",V6C2,P3V,1,P5,V6,V3,,,,,,
866,"U10Co51Si33,hP188,176",1000449.cif,Co1,yes,yes,"[['Si9', 1]]",Co4Si2U2,Si2CoU,1,Si9,Co4U2,Co3,,,,,,
486,"Ca28Ga11,oI78,44",1240886.cif,Ca1,yes,yes,"[['Ga6', 1]]",Ca6Ga2,Ca2Ga2,1,Ga6,Ca6,Ca3,,,,,,
365,"Ce3Pd4Sn6,oP52,62",1004570.cif,Sn2,yes,yes,"[['Pd1', 1]]",Sn4Ce2Pd2,Ce2Pd2,1,Pd1,Ce4Sn2,Sn3,,,,,,
330,"Yb2Pt3Sn5,oP40,62",1253042.cif,Sn5,yes,yes,"[['Pt2', 1]]",Sn4Pt2Yb2,Pt2SnYb,1,Pt2,Sn4Yb2,Sn2Yb,,,,,,
695,"Ba2Ir4In13,oS76,36",1124065.cif,In2,yes,yes,"[['Ir1', 1]]",In8,Ba2Ir2,1,Ir1,In6,In3,,,,,,
694,"Ba2Ir4In13,oS76,36",1124065.cif,In3,yes,yes,"[['Ir1', 1]]",In8,Ba2Ir2,1,Ir1,In6,In3,,,,,,
660,"SmRh5Ge3,hP108,176",1412299.cif,Rh1,yes,yes,"[['Ge1', 1]]",Rh4Ge2Sm2,Ge2RhSm,1,Ge1,Rh4Sm2,Rh3,,,,,,
715,"La2Fe25P12,oP78,55",1406880.cif,Fe10,yes,yes,"[['P6', 1]]",Fe6P2,P2FeLa,1,P6,Fe6,Fe3,,,,,,
663,"UCoAl4,hP18,189",1005157.cif,Al3,yes,yes,"[['Co1', 1]]",Al8,U3Co,1,Co1,Al6,Al3,,,,,,
920,"Li7CuSi2,oP40,62",1719635.cif,Li6,yes,yes,"[['Li3', 1]]",Li4Cu2Si2,Li3Si,1,Li3,Li4Si2,Li2Si,,,,,,
840,"Mg13Cu5Y5,oS92,63",1629333.cif,Mg3,yes,yes,"[['Cu2', 1]]",Mg6Y2,Mg3Cu,1,Cu2,Y4Mg2,Mg3,,,,,,
839,"Mg13Cu5Y5,oS92,63",1629333.cif,Mg2,yes,yes,"[['Cu1', 1]]",Mg6Y2,Mg2CuY,1,Cu1,Y4Mg2,Mg3,,,,,,
837,"LaNi5As3,oP72,62",1320647.cif,Ni8,yes,yes,"[['As6', 1]]",Ni4As2La2,As2LaNi,1,As6,Ni4La2,Ni3,,,,,,
833,"LaNi5As3,oP72,62",1320647.cif,Ni5,yes,yes,"[['As6', 1]]",Ni4As2La2,As2LaNi,1,As6,Ni4La2,Ni3,,,,,,
441,"Sm25Ni49P33,hP107,187",1810860.cif,Ni11,yes,yes,"[['P5', 1]]",Ni4P2Sm2,P2Sm2,1,P5,Sm4Ni2,Ni3,,,,,,
829,"U4Ni5Al18,mS54,8",1407000.cif,Al16,yes,yes,"[['Ni3', 1]]",Al6U2,Ni2AlU,1,Ni3,Al6,Al3,,,,,,
443,"Sm25Ni49P33,hP107,187",1810860.cif,P7,yes,yes,"[['Ni4', 1]]",Sm4Ni2P2,Ni3Sm,1,Ni4,Sm6,P3,,,,,,
444,"Sm25Ni49P33,hP107,187",1810860.cif,Ni10,yes,yes,"[['P7', 1]]",Ni4P2Sm2,Ni2PSm,1,P7,Sm4Ni2,Ni3,,,,,,
825,"U4Ni5Al18,mS54,8",1407000.cif,Al10,yes,yes,"[['Ni3', 1]]",Al6U2,Ni2AlU,1,Ni3,Al6,Al3,,,,,,
439,"Sm25Ni49P33,hP107,187",1810860.cif,P8,yes,yes,"[['Ni2', 1]]",Sm4Ni2P2,Ni3Sm,1,Ni2,Sm6,P3,,,,,,
943,"Ca2CdAs2,mS50,8",1632495.cif,Cd3,yes,yes,"[['As6', 1]]",Ca6As2,As3Ca,1,As6,Ca6,Cd3,,,,,,
1078,"Sr3In4Pb,oS32,63",1711607.cif,InM3,yes,no,"[['', 0]]",In4Sr4,In2Sr2,0,,,,,,,,,
817,"U4Ni5Al18,mS54,8",1407000.cif,Al8,yes,no,"[['', 0]]",Al8,U3Ni,0,,,,,,,,,
1042,"K2Ag4S3,mS36,12",540909.cif,Ag2,yes,no,"[['', 0]]",Ag4K2S2,Ag2S2,0,,,,,,,,,
816,"U4Ni5Al18,mS54,8",1407000.cif,Al9,yes,no,"[['', 0]]",Al4Ni2U2,Al2NiU,0,,,,,,,,,
1043,"K2Ag4S3,mS36,12",540909.cif,Ag3,yes,no,"[['', 0]]",Ag4K2S2,S2AgK,0,,,,,,,,,
851,"CaMn2Bi2,mP10,11",1048717.cif,Mn1,yes,no,"[['', 0]]",Mn4Bi2Ca2,Bi2CaMn,0,,,,,,,,,
831,"LaNi5As3,oP72,62",1320647.cif,Ni1,yes,no,"[['', 0]]",Ni6As2,As2LaNi,0,,,,,,,,,
832,"LaNi5As3,oP72,62",1320647.cif,As6,yes,no,"[['', 0]]",Ni4As2La2,Ni3La,0,,,,,,,,,
1075,"IrGa2,oS36,63",1906603.cif,Ga3,yes,no,"[['', 0]]",Ga6Ir2,Ga2Ir2,0,,,,,,,,,
1074,"Mg5NdNi,oS28,63",1637795.cif,Mg3,yes,no,"[['', 0]]",Mg8,Mg2Nd2,0,,,,,,,,,
1073,"Mg5NdNi,oS28,63",1637795.cif,Mg1,yes,no,"[['', 0]]",Mg4Nd2Ni2,Mg3Nd,0,,,,,,,,,
1070,"La4Ni5Al2,oS44,63",1651339.cif,La3,yes,no,"[['', 0]]",Al4Ni4,Ni4,0,,,,,,,,,
1069,"La4Ni5Al2,oS44,63",1651339.cif,Al1,yes,no,"[['', 0]]",La4Ni4,La3Ni,0,,,,,,,,,
1068,"SmNi4P2,oP42,58",1803097.cif,Sm1,yes,no,"[['', 0]]",Ni4P4,Ni2P2,0,,,,,,,,,
1067,"SmNi4P2,oP42,58",1803097.cif,Ni1,yes,no,"[['', 0]]",Ni6P2,Sm2NiP,0,,,,,,,,,
1066,"SmNi4P2,oP42,58",1803097.cif,Ni5,yes,no,"[['', 0]]",Sm4Ni2P2,P2NiSm,0,,,,,,,,,
1065,"SmNi4P2,oP42,58",1803097.cif,Ni3,yes,no,"[['', 0]]",Ni6Sm2,Ni2P2,0,,,,,,,,,
1064,"SmNi4P2,oP42,58",1803097.cif,P3,yes,no,"[['', 0]]",Sm4Ni2P2,Ni4,0,,,,,,,,,
1014,"Sr4Pd5P5,oS56,63",1703009.cif,Pd1,yes,no,"[['', 0]]",P4Pd4,Sr4,0,,,,,,,,,
1063,"SmNi4P2,oP42,58",1803097.cif,Ni4,yes,no,"[['', 0]]",Ni4P2Sm2,Ni2PSm,0,,,,,,,,,
1061,"SmNi4P2,oP42,58",1803097.cif,Ni2,yes,no,"[['', 0]]",Ni6P2,Ni3Sm,0,,,,,,,,,
1060,"BaCu10P4,mS60,12",1002640.cif,Cu4,yes,no,"[['', 0]]",Cu6P2,Cu2P2,0,,,,,,,,,
1059,"BaCu10P4,mS60,12",1002640.cif,Cu9,yes,no,"[['', 0]]",Cu6P2,Cu2P2,0,,,,,,,,,
1058,"BaCu10P4,mS60,12",1002640.cif,Cu7,yes,no,"[['', 0]]",Cu6P2,Cu2BaP,0,,,,,,,,,
340,"Tb6Pt12In23,mS82,12",1711843.cif,In6,yes,no,"[['', 0]]",In4Pt2Tb2,In2PtTb,0,,,,,,,,,
389,"Ti5Te4,tI18,87",1301600.cif,Ti2,yes,no,"[['', 0]]",Ti8,Te4,0,,,,,,,,,
347,"Eu3Co2In15,tP40,127",1125020.cif,In5,yes,no,"[['', 0]]",Eu4In4,In4,0,,,,,,,,,
16,"LiCo6P4,hP11,187",1948247.cif,Co1,yes,no,"[['', 0]]",Co4Li2P2,Co2P2,0,,,,,,,,,
366,"Ce3Pd4Sn6,oP52,62",1004570.cif,Sn3,yes,no,"[['', 0]]",Sn4Ce2Pd2,Ce2PdSn,0,,,,,,,,,
123,"Ce2Pt7Ge4,oP52,62",1233570.cif,Ge1,yes,no,"[['', 0]]",Pt4Ce2Ge2,Pt4,0,,,,,,,,,
33,"Sc2CoSi2,mS20,12",1005491.cif,Si1,yes,no,"[['', 0]]",Sc4Co2Si2,Sc2CoSi,0,,,,,,,,,
3,"Co2Si-b,oP12,62",1231971.cif,Co1,yes,no,"[['', 0]]",Co4Si4,Co3Si,0,,,,,,,,,
870,"V18P9C2,oP58,51",1644069.cif,V5,yes,no,"[['', 0]]",V6C2,P2CV,0,,,,,,,,,
868,"U10Co51Si33,hP188,176",1000449.cif,Co9,yes,no,"[['', 0]]",Co4Si2U2,Si2CoU,0,,,,,,,,,
867,"U10Co51Si33,hP188,176",1000449.cif,Si7,yes,no,"[['', 0]]",Co4Si2U2,Co3U,0,,,,,,,,,
865,"U10Co51Si33,hP188,176",1000449.cif,Co16,yes,no,"[['', 0]]",Co4Si2U2,Co2Si2,0,,,,,,,,,
864,"U10Co51Si33,hP188,176",1000449.cif,Co14,yes,no,"[['', 0]]",Co4Si2U2,Co2Si2,0,,,,,,,,,
863,"U10Co51Si33,hP188,176",1000449.cif,Si1,yes,no,"[['', 0]]",Co6U2,Co2Si2,0,,,,,,,,,
862,"U10Co51Si33,hP188,176",1000449.cif,Co11,yes,no,"[['', 0]]",Co4Si2U2,Si2CoU,0,,,,,,,,,
861,"U10Co51Si33,hP188,176",1000449.cif,Co15,yes,no,"[['', 0]]",Co4Si2U2,Co2Si2,0,,,,,,,,,
343,"Tb6Pt12In23,mS82,12",1711843.cif,In9,yes,no,"[['', 0]]",In6Pt2,Pt2InTb,0,,,,,,,,,
21,"Ho4Ni2InGe4,mS22,12",1211963.cif,Ge1,yes,no,"[['', 0]]",Ho4Ge2Ni2,Ho2InNi,0,,,,,,,,,
348,"Eu3Co2In15,tP40,127",1125020.cif,In4,yes,no,"[['', 0]]",In4Co2Eu2,In4,0,,,,,,,,,
350,"Eu3Co2In15,tP40,127",1125020.cif,In2,yes,no,"[['', 0]]",In4Co2Eu2,In4,0,,,,,,,,,
24,"U3Ni4Si4,oI22,71",1233809.cif,Ni1,yes,no,"[['', 0]]",Ni4Si2U2,Si2U2,0,,,,,,,,,
125,"Ce2Pt7Ge4,oP52,62",1233570.cif,Ge2,yes,no,"[['', 0]]",Pt4Ce2Ge2,Pt3Ce,0,,,,,,,,,
25,"LaCoAl4,oP12,51",1000452.cif,Al1,yes,no,"[['', 0]]",La4Al2Co2,Al4,0,,,,,,,,,
4,"Co2Si-b,oP12,62",1231971.cif,Si1,yes,no,"[['', 0]]",Co6Si2,Co4,0,,,,,,,,,
26,"LaCoAl4,oP12,51",1000452.cif,Al2,yes,no,"[['', 0]]",Al4Co2La2,Al4,0,,,,,,,,,
28,"La3Co2Sn7,oS24,65",1704782.cif,Sn2,yes,no,"[['', 0]]",Sn4Co2La2,La2Sn2,0,,,,,,,,,
29,"La3Co2Sn7,oS24,65",1704782.cif,Sn3,yes,no,"[['', 0]]",Sn6La2,Co2La2,0,,,,,,,,,
30,"La3Co2Sn7,oS24,65",1704782.cif,Sn1,yes,no,"[['', 0]]",La4Sn4,Sn4,0,,,,,,,,,
31,"La3Co2Sn7,oS24,65",1704782.cif,La1,yes,no,"[['', 0]]",Sn8,Sn4,0,,,,,,,,,
117,"NdRuSi2,mP8,11",1406354.cif,Si2,yes,no,"[['', 0]]",Si4Nd2Ru2,Nd2Ru2,0,,,,,,,,,
402,"LaRe2Si2,oI20,74",1406966.cif,Re2,yes,no,"[['', 0]]",Re6La2,Re2Si2,0,,,,,,,,,
400,"Ti45Se16,mS122,12",1003626.cif,Ti3,yes,no,"[['', 0]]",Ti6Se2,Ti4,0,,,,,,,,,
