,Structure type,cif,site,tcsp_present,tctp_on_caps,tctp_sites,sp_square_formula,sp_cap_formula,num_tctp_caps,tctp_center_0,tctp_tp_formula_0,tctp_cap_formula_0,tctp_center_1,tctp_tp_formula_1,tctp_cap_formula_1,tctp_center_2,tctp_tp_formula_2,tctp_cap_formula_2
681,"Sc5Pt9Si7,hP21,174",1929384.cif,Pt3,yes,yes,"[['Si3', 2]]",Pt4Sc2Si2,Sc2Si2,2,Si3,Pt4Sc2,Pt2Sc,,,,,,
812,"Zr3Pd4P3,oP40,62",1904569.cif,Pd4,yes,yes,"[['P1', 1], ['P3', 1]]",Zr4P2Pd2,P2Zr2,2,P1,Zr4Pd2,Pd2Zr,P3,Zr4Pd2,Pd3,,,
845,"Mg13Cu5Y5,oS92,63",1629333.cif,Mg8,yes,yes,"[['Cu2', 2]]",Mg4Y4,Cu2Mg2,2,Cu2,Y4Mg2,Mg3,,,,,,
875,"Au2Eu2Sn5,mP18,11",1415289.cif,Sn1,yes,yes,"[['Au1', 1], ['Au2', 1]]",Eu4Au2Sn2,Au2EuSn,2,Au1,Eu4Sn2,Sn3,Au2,Sn4Eu2,Sn2Eu,,,
847,"Au2YbIn4,mP14,11",1630666.cif,In3,yes,yes,"[['Au2', 1], ['Au1', 1]]",In6Au2,Au2InYb,2,Au2,In4Yb2,In3,Au1,In4Yb2,In3,,,
844,"Mg13Cu5Y5,oS92,63",1629333.cif,Mg7,yes,yes,"[['Cu1', 2]]",Mg6Y2,Cu2Y2,2,Cu1,Y4Mg2,Mg3,,,,,,
682,"Sc5Pt9Si7,hP21,174",1929384.cif,Pt1,yes,yes,"[['Si1', 1], ['Si2', 1]]",Sc4Pt2Si2,Si2PtSc,2,Si1,Sc6,Pt3,Si2,Sc4Pt2,Pt3,,,
717,"La2Fe25P12,oP78,55",1406880.cif,Fe13,yes,yes,"[['P5', 2]]",Fe8,Fe2P2,2,P5,Fe6,Fe3,,,,,,
999,"KNa4GeAs3,oP36,62",1406976.cif,Na2,yes,yes,"[['As1', 1], ['As3', 1]]",Na4As2K2,As2Na2,2,As1,Na4K2,GeKNa,As3,Na4K2,Na2Ge,,,
683,"Sc5Pt9Si7,hP21,174",1929384.cif,Pt2,yes,yes,"[['Si2', 2]]",Sc4Pt2Si2,Si2PtSc,2,Si2,Sc4Pt2,Pt3,,,,,,
668,"Gd5Co2Al2,oP18,55",1128767.cif,Gd2,yes,yes,"[['Co1', 2]]",Al4Gd4,Co2Gd2,2,Co1,Gd4Al2,Gd2Co,,,,,,
63,"Tb4RhInGe4,mS40,12",1642163.cif,Tb1,yes,yes,"[['Ge4', 1], ['Ge3', 1]]",Ge4Rh2Tb2,Ge2Tb2,2,Ge4,Tb4Rh2,GeRhTb,Ge3,Tb6,GeInTb,,,
